,review_body,review_date,hotelName,hotelUrl
10,"From the time you walk in, very attentive and helpful. Staff in particular Elmaar and Joy. Overall great team and friendly atmosphere. Requests are always dealt with efficiently. Use of the business lounge is helpful.","June 22, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
11,"This hotel exceeded my expectations. Everybody was nice.. the housekeeper (Imasha) on my floor was also very nice, friendly and always smiling. She wished me a happy birthday on my birthday!!! The concierges were also very nice and ready to help at all times. One of the concierges was very helpful, even when he was off duty and was asleep he was called and responded immediately making it possible for us to go to the Safari Desert (I wish I could remember his name). The receptionist were also cheerful. Did i talk about the rooms?? They are so beautiful and need!!! The response rate to requests are so fast!!I totally enjoyed my stay.. no regrets!","June 20, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
12,"I stayed in four point by sheraton downtown al mankool for 13 days.From the beginning till the end everyone took care of us very well.Mis ghessarni , varun ,mangala, nirmala,veera,swarna etc..are amazing .They toucher our hearts.The day we left everyone cried and we cried too.These days are memorable .They had a good hospitality,sense of humour, my heart got melted.Everyone must feel it in their stay.If i say ,that wont be enough.Thank yiu very much for everything.I will be back soon.Love you all.","June 19, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
13,"I had a great stay as usual but the house keeping person who looked after the cleaning of my room, Rajendhar was very good. So attentive and helpful. Thanks for that!! This hotel continues to punch above its weight. Easy access and delightful staff!!","June 18, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
14,"I stayed for 13 days at four points by Sheraton downtown at al mankool street.Mam Geesrani is very polite,she has a good style of conversation and Her work is very excellent.Room cleaning is excellent by their team.What all I asked,mam geesrani gave us and she did not refuse. I had stayed in many places but I will never forget the stay at four points by Sheraton downtown al mankool street . Sir sudesh work is very excellent.","June 16, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
15,"Was at the four points by Sheraton down town and found it to be a good hotel for a family stay.. reasonably priced, decent rooms, good breakfast spread and great service from front desk, Restaurent and housekeeping. They were fast, attentive and tried to connect personally even though they were full for breakfast.Swarna and the head of housekeeping were stand out stars ! Great stuff !!They offer twice a day shuttles to the beach and Dubai mall and the location although is just off Mankhool road has Restaurent’s and shopping within walking distance or a short taxi ride.Seek you soon Four Points by Sheraton Down town !","June 15, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
16,"The Hotel is very nice and clean. The Rooms are big and good equipped. At the bar and the Restaurant we had nice Service from Shubham. In General the stuff is very friendly and helpful. The page helped us very good with out lost luggage. They made follows up with the Airline and supported us very well. We did not have to worry about anything. At the rooftop there is also a nice bar, Pool and spa.","June 14, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
17,"The hotel room is super clean but even the simple amenities are missing as vanity kit, dental kit etc. If you forget to bring, unfortunately they do not provide since they do not have in the hotel. But the hotel is still okay as a four stars. The lobby is so much crowd since it is in the town. There are many people are sitting at the lobby area and you do not understand if they are hotel guest or some others from outside.I had an issue during my stay and thank you to Mr. Hazem (Night manager) to follow up and sort out immediately. And also another special thanks to Daisy, she was so helpful during my check in and check out.Small tip: Do not give a connected room the guest who wish to have a quiet room.","June 10, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
18,"We hosted an eid dinner for our family and friends at the Party/meeting room at the hotel. Our experience was superb. The servers Rahul and Swarna were absolutely at their best. I cdnt expect a better service from them. Really loved the way they served everyone with a smile and were constantly available to serve the guests.Similarly, Chef Afroj Alam was amazing. Not only did the food taste great, Chef's presence throughout the dinner time and his supervision ensured that food was refilled on time and the guests were satisfied. We have received so many messages from people attending the party regarding the cost and all because everyone loved the food. The food taste and quality was definitely the highlight of our party. I cannot thank the chef enough or recommend him enough. He really deserves praise.In all, it was a great experience and I am pretty sure we will in sha Allah be organizing some event at Four points by Sheraton again. Plus we will be regular customers at Purani Dilli restaurant.","June 8, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
19,"Nice gym and pool. Great location near metro, Easy taxi access to airport, dubai mall, emirates mall. Plenty of restaurants in the area, there's a movie theater within a 10 minute walk from the hotel. ","June 5, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
20,"This hotel offers value for money, and overall the hotel is clean and nice. Staff were friendly and seemed genuinely happy which is a reassuring sign that the hotel is well managed. The Yesterday Pub is a great spot. The room was large and had everything we needed. The gym, breakfast buffet and pool are all OK if a little small. Our only complaints were the AC wasn’t working properly in our room. When we called for assistance the engineer decided to change all the filters whilst we were in the room. A lot of work and still the AC didn’t get working properly - we slept at 25 C. The WiFi was also a little slow. ","June 3, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
21,Received warm hospitality from all hotel staff right from the time we checked in till checking out. Excellent service at the hotel restaurant and bar.Special thanks to Shubham who took great effort to ensure that we are being served the best!!! We’ll definitely be back .,"June 1, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
22,"We enjoyed a six day sojourn at this hotel. Greeted by friendly staff and we enjoyed their services throughout our stay. Check-in and Check-out was very efficient and informative and you were made to feel an honored guest in the hotel. Our room on the first floor was large and bright and included all amenities necessary to make our stay very pleasant indeed. Views from the window were not the best but this is typical of downtown Dubai where there is nearly always an adjacent building. Construction nearby was not an issue due to the excellent soundproofing. Pool, spa and massages available on the rooftop for guests to enjoy or just laze by the pool with a cool beer from the poolside bar. Complimentary shuttle service to various locations in the city. Great hotel, great staff and a great base in Dubai.","May 31, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
23,"We had an awesome stay at burdubai four points by sheraton at bank street.outstanding service from check in to checkout.hotel is located in centre from all places,and staff is always open for any query and help.Best place to stay in dubai.","May 29, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
24,Thank you for your excellent serviceHope I Come back againEspicially thanks to Zahoor He serve me exact time in sahoor food is excellent hôtel was nice everything was super so th x agan to Zahoor for your excellent service. ,"May 28, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
25,"Very clean room, responsive staff who are ever willing to assist, good food and all at excellent rate! Prince, Jinky, Shawna, Zahoor and some others whose names I can’t recall now, starting from the chap who checked me in on arrival, have been great ambassadors of the hotel. A BIG thank you to All! Philip ","May 23, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
26,"The Staff are incredible, from check in, I was able to check in early without an extra fee, to maid service to dining and breakfast. Everyone is smiling and always greeting you as you walk by. I had the pleasure of being served by Swarna at breakfast every morning. The pool and patio were great to tan and swim in everyday and the rooms were spacious and comfortable. Will be back","May 21, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
27,"Had a lovely, memorable family vacation post the Arab Health. Chose this hotel on a recommendation of a friend. We weren't disappointed at all. The rooms were well appointed, the room service was efficient and the buffet breakfast was well spread with lots of options in vegetarian and non vegetarian dishes.","May 20, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
28,"I recently stayed at 4 Points Sheraton for one evening. Check in was smooth until I was advised I had not included breakfast, despite having chosen a breakfast package. I explained this but the female desk staff were adamant and would not offer a complimentary breakfast, all of 80 dhs, despite being a Silver Elite member. The saving grace for this hotel was the spacious room and the great bed and pillows. The pool was also pleasant. I had dinner in the restaurant but the chicken parmigiana was served as a bowl of spaghetti with some chicken on top, seems the recipe was lost in translation. Having drinks with a colleague in the bar was unimpressive as every TV was turned up full volume, so much so conversation was impossible and the sound was almost physical. Staff went through the motions of turning down but to no avail. I commend Shantelle for her efforts to make the situation pleasant and Head of Housekeeping for airing the room which was smelly. Unfortunately I will not visit again.","May 19, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
29,"We had 3 nights at this hotel and were so satisfied with the stay we have booked a return trip already. The staff are super friendly, the food was great and we found the location convenient to the airport and downtown. Each afternoon we enjoyed relaxing by the pool watching the sun set before heading down to the restaurant for a delicious dinner. One time we did venture out to eat at a local restaurant but the next night favoured returning to the Sheraton restaurant as the staff, particuarly head waiter Rupet looked after us so well.","May 18, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
30,"I arrived really early to meet my friend in a different room and wait until 3:00pm to check in. I was talking to Munabar at the front desk. I explained that is was meeting a friend and was was checking in later, he said he had an available room now and checked me in at around 11:00am. He was very cheerful, positive and friendly. He saw I was in a standard room facing a building he moved me to a preferred room with a better veiw! And he saw I didn't get breakfast and offered breakfast to me for only 25 AED. Breakfast is well worth it, great food and very friendly staff. I will recommend this hotel to anyone and I will be staying again. Relax at the pool!","May 16, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
31,Yesterday's bar very nice to sit and relax I enjoy this place I love this restaurant here staff was very friendly and they very polite and respectful giving good service like Gopi and environmental of bar is excellent......,"May 15, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
32,"We spent two days in Dubai arriving at 5.30am after a very long flight and we were extremely happy to be allowed to check in and get a few hours sleep. Staff were friendly and helpful. Our room was clean, comfortable and quiet. The hotel has two restaurants and a cafe. Only criticism was the bar allows smokers so as a non smoker, we couldn’t stay for a drink. Breakfast was a buffet which catered for everyone, most delicious. Only about 10 minute, 15 Durham cab ride to Dubai Mall. Would stay again. ","May 13, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
33,Yesterday’s bar very nice to watch games and nice place to enjoj with friends and very friendly staff there are very kind and doinig very service I’m staying golden sands I like this bar and gopi was very nice service,"May 13, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
34,"I leave Four Points with a heavy hear beacuse I'm going to miss the place. Excellent service and the best hotel for tourists and business people. Will definitely be here again soon.The staffs are the best and they treat you with respect. Ganesha, Munavar, Zakir, Sharleen and Gopi all attended to me very well. Recommended for anyone coming to Dubai.","May 13, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
35,Great restraunt. Great atmosphere. Nice staff. Gopi was especially awesome! Great place! I highly recommend!The pool is a bit of a gimmick but other than that everything else was awesome!............,"May 11, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
36,"Your staffs namely Swarna, jeenky,Prins and Gautami attend to us very well and give us a 7 stars service. They are humble, kind, friendly and very efficient of the service they give to us during our stay here from 7.5.2019 to 11.5.2019. We really enjoy our stay and we would like to stay here again if possible. Also, we would recommend our relatives, friends and business associates to stay here too. We too will recommend to our business partners in Dubai and he visited us when we were here. Furthermore, the place is clean which is to me, of paramount important and tidy. The food is good and fresh and we love it. We also love the well prepared eggs be it in half boiled or sunny side up as they cooked very well when we request upon ordering it. The total of our family is 5 and our Room nos is 232 and 532. Thank you.","May 10, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
37,Very nice hotel and good bar The service was very very nice and I came here for one day the bar staff very friendly and there are giving quick services and bar atmosphere was awesome I will recommend my to friends to come and enjoy I really enjoyed ,"May 9, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
38,"The Hotel ist very nice including a Bar and a Restaurant. Room services are excellent. Restaurant is ok. The bar is beautiful with a Irish flair, alcoholic drinks are, like everywhere in Dubai, a bit expensive. The bartenders, especially Gopi and Sheerlin are very kind and friendly. We can recommend this Hotel for Families and young couples.","May 8, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
39,"I've been there with my family and we had a great time. The hotel is clean and maintained, our room was big enough.Only complain is related to the hotel location, it could be better.Apart of that no objections.We got full help for all our inquiries from friendly staff at the reception.Specially we would highlight friendly and very helpful service from the lady in the Bar (Tariro).","May 7, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
40,"The hotel was nice and clean, also has a restaurant. Front desk was helpful. The area is not too far from public transportation and not too far from airport. Walking distance for food and groceries. Masque was a block away.","May 6, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
41,"Very good value for a 2 night stopover. located between the airport and downtown. Need to taxi everywhere but taxis are cheaper than a more centrally located hotel. Nice rooms, food and service. Lovely roof top pool area. Perfectly adequate.","May 6, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
42,A great bar and restaurant with great staff and great hospitality. Always good and intelligent conversations. Great music from the 80s / 90s. Love the place. I would recommend a visit there as the location is also good for the old scenic sights of Dubai (as opposed to high rises). Good rates for the hotel too.,"May 4, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
43,I like this place the bar was extremely nice and I like come always here and staff was friendly and I like to watch games here and cook tails was very nice when ever I come Dubai l use to here only and gopi was taking care of us.....,"May 4, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
44,"we booked this pre-cruise hotel for a couple of night because it was a good brand and the title in the description 'Downtown' We know we would want to go to the Dubai Mall and the local restaurants for breakfast on evening meals and thought that having a downtown hotel we could simple stroll to these places. It turns out that we are no where near downtown Dubai and what more it is at least a 40 dirham taxi ride and approx 20 minutes driving time away from the mall and downtown Dubai. when i quizzed the staff about this they explained that when the hotel was built about 15 years ago the area around it was downtown - WAS - this is on unforgivable marketing ploy to sell this hotel and would not be allowed in any normal civilised country. most of our fellow guests are taken aback by this and the extra unnecessary expenses this incursto the holiday. totally misleading and needs to be changed. the hotel and staff are very good and no complaints in that area and the hotel is spotless but due to its current location there is absolutely nothing close by, and i mean nothing.!","May 3, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
45,"My room was spacious, and comfortable and clean. My only complain, there was no microwave in my room. The service was excellent.The staff was very friendly and helpful. The location was great, easy access to transportation. I enjoyed the exotic taste of their food. I will recommend this hotel to others. I will like to thank the staff for their service.Thanks to Prusad who was very helpful at dinner time with our menu choices. My family and I plan to visit again.","May 2, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
46,"I would like to thank all personnel of this hotel for their hospitality and best service. I recommend this hotel everyone who are going to visit UAE (Dubai), the best place to enjoy and relax. Especially I would like to highlight Sport Bar Service underline name of Mr. Gopi, he really doing good Job. Price of the hotel and service is meet my expectations. ","April 30, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
47,"Stayed here for 3 nights and felt very comfortable. Staff was exceptional especially in the case of getting my phone back which was left in a taxi. Knew what to do and very quick turnaround. Would like to especially thank Hassan, Bryame, Ivanie, and Sibil for your extra hard work. Thank you so much! Five stars!","April 28, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
48,"I visit yesterday’s pub in four points sheraton nice place to sit and drink feeling relax and enjoy here food was good and taste staff was very good and friendly and gopi and rayan,manoj there r very friendly i enjoyed a lot I will come again this place ","April 27, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
49,Me and my husband stayed at the hotel from 20th April to 26th April. We checked in and went out for sightseeing. We came back at 11 PM and a suprise awaited us. It was my husband's birthday and the staff had kept a cake and card. How thoughtful!! The breakfast was great. Also there is a pub called Yesterday in the hotel that was screening IPL matches. Good offers on drinks and good food too.Overall an excellent stay.,"April 27, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
50,"The 4 Points Sheraton has the best bar & service staff ever. I was there for 6 nites & each evening ended the day going to the hotel bar......Gopi, the waiter, was very attentive, very personable, & treated myself & the rest of my party with the utmost respect. Each time we walked in we were greeted by a smile & outstanding service.","April 26, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
51,"Me and my friends went here just to relax, pool was amazing nearby burjuman mall as well. Staff are accommodating and smiling will definitely recommend this hotel. Two thumbs up!! Our room has a small sala so i can entertain my friends it was amazing experienced!!","April 26, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
52,"This is a nice hotel, albeit the bathroom is small and the shower water a bit inconsistent. The staff, Jinny in the breakfast room, front desk staff, gym staff and all are kind and friendly. The location is convenient and Uber is always close by. Prices are reasonable and food selections good. ","April 22, 2019","0    Four Points By Sheraton Downtown Dubai
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html
